matcher,probe_record_id,probe_sample_id,probe_identity,rank_of_true_identity,rank_1_hit,gallery_size,ranking_strategy,samples_per_gallery,aggregation_method,top_5_identities
sift,80,AMF-Iris::marwan::4::Left,marwan,11,False,50,cascade,multiple,mean,saadi;ameina;abas;wathah;daood
superglue-fingervein,80,AMF-Iris::marwan::4::Left,marwan,2,False,50,cascade,multiple,mean,aziz;marwan;aadil;wisam;saadi
superglue,80,AMF-Iris::marwan::4::Left,marwan,8,False,50,cascade,multiple,mean,ameer;daood;ahmed;wathah;basam
sgmnet-fingervein,80,AMF-Iris::marwan::4::Left,marwan,1,True,50,cascade,multiple,mean,marwan;aziz;wathah;baydaa;abas
sgmnet,80,AMF-Iris::marwan::4::Left,marwan,1,True,50,cascade,multiple,mean,marwan;abas;wathah;aadil;aziz
aspanformer,80,AMF-Iris::marwan::4::Left,marwan,1,True,50,cascade,multiple,mean,marwan;saadi;wisam;ameer;daood
deepdetect,80,AMF-Iris::marwan::4::Left,marwan,4,False,50,cascade,multiple,mean,daood;ameina;ahmed;marwan;ameer
loftr,84,AMF-Iris::rasha::4::Left,rasha,1,True,50,cascade,multiple,mean,rasha;wathah;taha;huda;wisam
orb-fingervein,84,AMF-Iris::rasha::4::Left,rasha,1,True,50,cascade,multiple,mean,rasha;abas;mazin;daood;arwa
orb,84,AMF-Iris::rasha::4::Left,rasha,1,True,50,cascade,multiple,mean,rasha;tabarak;daood;arwa;taha
sift-fingervein,84,AMF-Iris::rasha::4::Left,rasha,1,True,50,cascade,multiple,mean,rasha;omar;huda;abas;fuaad
sift,84,AMF-Iris::rasha::4::Left,rasha,1,True,50,cascade,multiple,mean,rasha;saadi;ameina;abas;wathah
superglue-fingervein,84,AMF-Iris::rasha::4::Left,rasha,1,True,50,cascade,multiple,mean,rasha;salam;wisam;mazin;fuaad
superglue,84,AMF-Iris::rasha::4::Left,rasha,9,False,50,cascade,multiple,mean,tabarak;daood;wisam;arwa;fuaad
sgmnet-fingervein,84,AMF-Iris::rasha::4::Left,rasha,1,True,50,cascade,multiple,mean,rasha;arwa;wathah;abas;ameina
sgmnet,84,AMF-Iris::rasha::4::Left,rasha,1,True,50,cascade,multiple,mean,rasha;abas;arwa;ameina;wathah
aspanformer,84,AMF-Iris::rasha::4::Left,rasha,1,True,50,cascade,multiple,mean,rasha;taha;daood;wisam;fuaad
deepdetect,84,AMF-Iris::rasha::4::Left,rasha,1,True,50,cascade,multiple,mean,rasha;saadi;taha;ameina;tabarak
loftr,88,AMF-Iris::ayad::4::Left,ayad,1,True,50,cascade,multiple,mean,ayad;marwan;wathah;zakaria;saldar
orb-fingervein,88,AMF-Iris::ayad::4::Left,ayad,1,True,50,cascade,multiple,mean,ayad;mohamad;sirag;marwan;wathah
orb,88,AMF-Iris::ayad::4::Left,ayad,1,True,50,cascade,multiple,mean,ayad;zakaria;wathah;daood;basam
sift-fingervein,88,AMF-Iris::ayad::4::Left,ayad,1,True,50,cascade,multiple,mean,ayad;rasha;sirag;mohamad;huda
sift,88,AMF-Iris::ayad::4::Left,ayad,1,True,50,cascade,multiple,mean,ayad;wathah;daood;basam;sirag
superglue-fingervein,88,AMF-Iris::ayad::4::Left,ayad,1,True,50,cascade,multiple,mean,ayad;wathah;daood;huda;marwan
superglue,88,AMF-Iris::ayad::4::Left,ayad,1,True,50,cascade,multiple,mean,ayad;abeer;marwan;zakaria;rasha
sgmnet-fingervein,88,AMF-Iris::ayad::4::Left,ayad,1,True,50,cascade,multiple,mean,ayad;saldar;basam;mohamad;abeer
sgmnet,88,AMF-Iris::ayad::4::Left,ayad,1,True,50,cascade,multiple,mean,ayad;adnan;kareem;saldar;mohamad
aspanformer,88,AMF-Iris::ayad::4::Left,ayad,1,True,50,cascade,multiple,mean,ayad;wathah;sirag;saldar;adnan
deepdetect,88,AMF-Iris::ayad::4::Left,ayad,1,True,50,cascade,multiple,mean,ayad;daood;adnan;muhand;wathah
loftr,92,AMF-Iris::kareem::0::Left,kareem,1,True,50,cascade,multiple,mean,kareem;abas;aadil;tabarak;wathah
orb-fingervein,92,AMF-Iris::kareem::0::Left,kareem,1,True,50,cascade,multiple,mean,kareem;aziz;saadi;wathah;abas
orb,92,AMF-Iris::kareem::0::Left,kareem,12,False,50,cascade,multiple,mean,ameina;saadi;abas;wathah;daood
sift-fingervein,92,AMF-Iris::kareem::0::Left,kareem,1,True,50,cascade,multiple,mean,kareem;baydaa;saldar;abas;marwan
sift,92,AMF-Iris::kareem::0::Left,kareem,1,True,50,cascade,multiple,mean,kareem;saadi;ameina;abas;wathah
superglue-fingervein,92,AMF-Iris::kareem::0::Left,kareem,1,True,50,cascade,multiple,mean,kareem;saadi;marwan;wathah;aadil
superglue,92,AMF-Iris::kareem::0::Left,kareem,2,False,50,cascade,multiple,mean,saadi;kareem;daood;basam;saldar
sgmnet-fingervein,92,AMF-Iris::kareem::0::Left,kareem,1,True,50,cascade,multiple,mean,kareem;rasha;tabarak;marwan;baydaa
sgmnet,92,AMF-Iris::kareem::0::Left,kareem,1,True,50,cascade,multiple,mean,kareem;saldar;marwan;baydaa;tabarak
aspanformer,92,AMF-Iris::kareem::0::Left,kareem,1,True,50,cascade,multiple,mean,kareem;aadil;anas;saadi;wathah
deepdetect,92,AMF-Iris::kareem::0::Left,kareem,1,True,50,cascade,multiple,mean,kareem;ameina;aadil;rasha;basam
loftr,96,AMF-Iris::zaid::2::Left,zaid,1,True,50,cascade,multiple,mean,zaid;ameina;wathah;assem;marwan
orb-fingervein,96,AMF-Iris::zaid::2::Left,zaid,1,True,50,cascade,multiple,mean,zaid;mazin;assem;wisam;fuaad
orb,96,AMF-Iris::zaid::2::Left,zaid,2,False,50,cascade,multiple,mean,daood;zaid;arwa;mazin;assem
sift-fingervein,96,AMF-Iris::zaid::2::Left,zaid,1,True,50,cascade,multiple,mean,zaid;mazin;anas;arwa;marwan
sift,96,AMF-Iris::zaid::2::Left,zaid,1,True,50,cascade,multiple,mean,zaid;assem;fuaad;saadi;ameina
superglue-fingervein,96,AMF-Iris::zaid::2::Left,zaid,1,True,50,cascade,multiple,mean,zaid;daood;wathah;marwan;mazin
superglue,96,AMF-Iris::zaid::2::Left,zaid,3,False,50,cascade,multiple,mean,assem;abas;zaid;fuaad;wisam
sgmnet-fingervein,96,AMF-Iris::zaid::2::Left,zaid,1,True,50,cascade,multiple,mean,zaid;arwa;wathah;abas;ameina
sgmnet,96,AMF-Iris::zaid::2::Left,zaid,1,True,50,cascade,multiple,mean,zaid;wisam;arwa;wathah;abas
aspanformer,96,AMF-Iris::zaid::2::Left,zaid,1,True,50,cascade,multiple,mean,zaid;assem;ameina;wathah;abas
deepdetect,96,AMF-Iris::zaid::2::Left,zaid,1,True,50,cascade,multiple,mean,zaid;ameina;aziz;fuaad;anas
loftr,100,AMF-Iris::muhand::2::Left,muhand,1,True,50,cascade,multiple,mean,muhand;israa;wathah;huda;elaf
orb-fingervein,100,AMF-Iris::muhand::2::Left,muhand,1,True,50,cascade,multiple,mean,muhand;israa;kamal;elaf;tabarak
orb,100,AMF-Iris::muhand::2::Left,muhand,1,True,50,cascade,multiple,mean,muhand;asmaa;saadi;wathah;rafa
sift-fingervein,100,AMF-Iris::muhand::2::Left,muhand,1,True,50,cascade,multiple,mean,muhand;asmaa;saadi;israa;zaid
sift,100,AMF-Iris::muhand::2::Left,muhand,1,True,50,cascade,multiple,mean,muhand;assem;saadi;wathah;rafa
superglue-fingervein,100,AMF-Iris::muhand::2::Left,muhand,1,True,50,cascade,multiple,mean,muhand;wisam;huda;wathah;elaf
superglue,100,AMF-Iris::muhand::2::Left,muhand,4,False,50,cascade,multiple,mean,assem;rafa;adnan;muhand;wisam
sgmnet-fingervein,100,AMF-Iris::muhand::2::Left,muhand,1,True,50,cascade,multiple,mean,muhand;tabarak;asmaa;abeer;wathah
sgmnet,100,AMF-Iris::muhand::2::Left,muhand,1,True,50,cascade,multiple,mean,muhand;adnan;wathah;tabarak;asmaa
aspanformer,100,AMF-Iris::muhand::2::Left,muhand,1,True,50,cascade,multiple,mean,muhand;wisam;elaf;asmaa;abeer
deepdetect,100,AMF-Iris::muhand::2::Left,muhand,1,True,50,cascade,multiple,mean,muhand;israa;huda;abeer;rafa
loftr,104,AMF-Iris::elaf::0::Left,elaf,1,True,50,cascade,multiple,mean,elaf;salam;ayad;zakaria;zaid
orb-fingervein,104,AMF-Iris::elaf::0::Left,elaf,1,True,50,cascade,multiple,mean,elaf;ayad;abeer;ameina;salam
orb,104,AMF-Iris::elaf::0::Left,elaf,1,True,50,cascade,multiple,mean,elaf;saadi;ameina;anas;abeer
sift-fingervein,104,AMF-Iris::elaf::0::Left,elaf,1,True,50,cascade,multiple,mean,elaf;loai;adnan;ameina;anas
sift,104,AMF-Iris::elaf::0::Left,elaf,2,False,50,cascade,multiple,mean,zafer;elaf;ameina;saadi;anas
superglue-fingervein,104,AMF-Iris::elaf::0::Left,elaf,1,True,50,cascade,multiple,mean,elaf;salam;zafer;ameina;zaid
superglue,104,AMF-Iris::elaf::0::Left,elaf,8,False,50,cascade,multiple,mean,salam;abeer;muhand;loai;saadi
sgmnet-fingervein,104,AMF-Iris::elaf::0::Left,elaf,1,True,50,cascade,multiple,mean,elaf;fars;abeer;saldar;ameina
sgmnet,104,AMF-Iris::elaf::0::Left,elaf,1,True,50,cascade,multiple,mean,elaf;adnan;zaid;ameina;saldar
aspanformer,104,AMF-Iris::elaf::0::Left,elaf,1,True,50,cascade,multiple,mean,elaf;zafer;ayad;muhand;zaid
deepdetect,104,AMF-Iris::elaf::0::Left,elaf,2,False,50,cascade,multiple,mean,zaid;elaf;muhand;zafer;adnan
loftr,108,AMF-Iris::taha::0::Left,taha,1,True,50,cascade,multiple,mean,taha;muhand;fuaad;salam;wathah
orb-fingervein,108,AMF-Iris::taha::0::Left,taha,1,True,50,cascade,multiple,mean,taha;fuaad;ali;abas;baydaa
orb,108,AMF-Iris::taha::0::Left,taha,1,True,50,cascade,multiple,mean,taha;ameina;rafa;muhand;baydaa
sift-fingervein,108,AMF-Iris::taha::0::Left,taha,1,True,50,cascade,multiple,mean,taha;basam;salam;aadil;rafa
sift,108,AMF-Iris::taha::0::Left,taha,1,True,50,cascade,multiple,mean,taha;muhand;fuaad;saadi;ameina
superglue-fingervein,108,AMF-Iris::taha::0::Left,taha,2,False,50,cascade,multiple,mean,ali;taha;aadil;muhand;salam
superglue,108,AMF-Iris::taha::0::Left,taha,8,False,50,cascade,multiple,mean,fars;rafa;loai;salam;basam
sgmnet-fingervein,108,AMF-Iris::taha::0::Left,taha,1,True,50,cascade,multiple,mean,taha;fars;wathah;loai;basam
sgmnet,108,AMF-Iris::taha::0::Left,taha,1,True,50,cascade,multiple,mean,taha;basam;fars;abas;ali
aspanformer,108,AMF-Iris::taha::0::Left,taha,1,True,50,cascade,multiple,mean,taha;muhand;salam;fuaad;saadi
deepdetect,108,AMF-Iris::taha::0::Left,taha,2,False,50,cascade,multiple,mean,wathah;taha;salam;muhand;saadi
loftr,112,AMF-Iris::kamal::2::Left,kamal,1,True,50,cascade,multiple,mean,kamal;abas;wathah;ameer;aadil
orb-fingervein,112,AMF-Iris::kamal::2::Left,kamal,1,True,50,cascade,multiple,mean,kamal;ahmed;abas;wisam;ameina
orb,112,AMF-Iris::kamal::2::Left,kamal,10,False,50,cascade,multiple,mean,wisam;saadi;ameina;abas;wathah
sift-fingervein,112,AMF-Iris::kamal::2::Left,kamal,1,True,50,cascade,multiple,mean,kamal;baydaa;saadi;khalid;basam
sift,112,AMF-Iris::kamal::2::Left,kamal,1,True,50,cascade,multiple,mean,kamal;khalid;basam;ahmed;saadi
superglue-fingervein,112,AMF-Iris::kamal::2::Left,kamal,1,True,50,cascade,multiple,mean,kamal;aadil;wathah;saadi;abas
superglue,112,AMF-Iris::kamal::2::Left,kamal,2,False,50,cascade,multiple,mean,wisam;kamal;abeer;ahmed;abas
sgmnet-fingervein,112,AMF-Iris::kamal::2::Left,kamal,1,True,50,cascade,multiple,mean,kamal;abas;saadi;wisam;wathah
sgmnet,112,AMF-Iris::kamal::2::Left,kamal,1,True,50,cascade,multiple,mean,kamal;saadi;basam;wisam;wathah
aspanformer,112,AMF-Iris::kamal::2::Left,kamal,1,True,50,cascade,multiple,mean,kamal;wisam;khalid;abas;wathah
deepdetect,112,AMF-Iris::kamal::2::Left,kamal,1,True,50,cascade,multiple,mean,kamal;baydaa;ameina;khalid;ameer
loftr,116,AMF-Iris::aadil::0::Left,aadil,1,True,50,cascade,multiple,mean,aadil;saadi;kamal;rafa;wathah
orb-fingervein,116,AMF-Iris::aadil::0::Left,aadil,1,True,50,cascade,multiple,mean,aadil;salam;ameina;abas;wathah
orb,116,AMF-Iris::aadil::0::Left,aadil,1,True,50,cascade,multiple,mean,aadil;huda;rafa;ameina;saldar
sift-fingervein,116,AMF-Iris::aadil::0::Left,aadil,1,True,50,cascade,multiple,mean,aadil;rafa;loai;huda;saldar
sift,116,AMF-Iris::aadil::0::Left,aadil,1,True,50,cascade,multiple,mean,aadil;rafa;huda;saadi;ameina
superglue-fingervein,116,AMF-Iris::aadil::0::Left,aadil,1,True,50,cascade,multiple,mean,aadil;saadi;zakaria;wathah;salam
superglue,116,AMF-Iris::aadil::0::Left,aadil,6,False,50,cascade,multiple,mean,fuaad;zakaria;saldar;huda;rafa
sgmnet-fingervein,116,AMF-Iris::aadil::0::Left,aadil,1,True,50,cascade,multiple,mean,aadil;loai;saldar;saadi;rafa
sgmnet,116,AMF-Iris::aadil::0::Left,aadil,1,True,50,cascade,multiple,mean,aadil;abas;ameina;saadi;loai
aspanformer,116,AMF-Iris::aadil::0::Left,aadil,1,True,50,cascade,multiple,mean,aadil;rafa;kamal;abas;loai
deepdetect,116,AMF-Iris::aadil::0::Left,aadil,1,True,50,cascade,multiple,mean,aadil;wathah;kamal;rafa;huda
loftr,120,AMF-Iris::israa::2::Left,israa,1,True,50,cascade,multiple,mean,israa;fuaad;wathah;huda;elaf
orb-fingervein,120,AMF-Iris::israa::2::Left,israa,1,True,50,cascade,multiple,mean,israa;elaf;yaseen;anas;salam
orb,120,AMF-Iris::israa::2::Left,israa,1,True,50,cascade,multiple,mean,israa;adnan;abas;wathah;anas
sift-fingervein,120,AMF-Iris::israa::2::Left,israa,1,True,50,cascade,multiple,mean,israa;hamza;yaseen;fuaad;ameer
sift,120,AMF-Iris::israa::2::Left,israa,1,True,50,cascade,multiple,mean,israa;fuaad;hamza;abas;wathah
superglue-fingervein,120,AMF-Iris::israa::2::Left,israa,1,True,50,cascade,multiple,mean,israa;fuaad;abas;adnan;huda
superglue,120,AMF-Iris::israa::2::Left,israa,8,False,50,cascade,multiple,mean,adnan;salam;elaf;ameer;huda
sgmnet-fingervein,120,AMF-Iris::israa::2::Left,israa,1,True,50,cascade,multiple,mean,israa;anas;abas;fars;asmaa
sgmnet,120,AMF-Iris::israa::2::Left,israa,1,True,50,cascade,multiple,mean,israa;abas;hamza;salam;anas
aspanformer,120,AMF-Iris::israa::2::Left,israa,1,True,50,cascade,multiple,mean,israa;fuaad;salam;huda;elaf
deepdetect,120,AMF-Iris::israa::2::Left,israa,7,False,50,cascade,multiple,mean,salam;huda;adnan;yaseen;ayad
loftr,124,AMF-Iris::salam::2::Left,salam,1,True,50,cascade,multiple,mean,salam;aziz;anas;basam;wathah
orb-fingervein,124,AMF-Iris::salam::2::Left,salam,1,True,50,cascade,multiple,mean,salam;abas;basam;daood;anas
orb,124,AMF-Iris::salam::2::Left,salam,14,False,50,cascade,multiple,mean,saadi;ameina;abas;wathah;daood
sift-fingervein,124,AMF-Iris::salam::2::Left,salam,1,True,50,cascade,multiple,mean,salam;abas;wathah;hamza;saadi
sift,124,AMF-Iris::salam::2::Left,salam,14,False,50,cascade,multiple,mean,saadi;ameina;abas;wathah;daood
superglue-fingervein,124,AMF-Iris::salam::2::Left,salam,1,True,50,cascade,multiple,mean,salam;hamza;aziz;wathah;rafa
superglue,124,AMF-Iris::salam::2::Left,salam,1,True,50,cascade,multiple,mean,salam;sirag;anas;daood;muhand
sgmnet-fingervein,124,AMF-Iris::salam::2::Left,salam,1,True,50,cascade,multiple,mean,salam;abas;wathah;kareem;ameina
sgmnet,124,AMF-Iris::salam::2::Left,salam,1,True,50,cascade,multiple,mean,salam;abas;anas;ameina;wathah
aspanformer,124,AMF-Iris::salam::2::Left,salam,1,True,50,cascade,multiple,mean,salam;muhand;ameer;saadi;abas
deepdetect,124,AMF-Iris::salam::2::Left,salam,2,False,50,cascade,multiple,mean,wathah;salam;daood;basam;rafa
loftr,128,AMF-Iris::hamza::8::Left,hamza,1,True,50,cascade,multiple,mean,hamza;zakaria;abeer;ameer;tabarak
orb-fingervein,128,AMF-Iris::hamza::8::Left,hamza,1,True,50,cascade,multiple,mean,hamza;ayad;khalid;tabarak;fars
orb,128,AMF-Iris::hamza::8::Left,hamza,1,True,50,cascade,multiple,mean,hamza;ameer;kareem;aziz;sirag
sift-fingervein,128,AMF-Iris::hamza::8::Left,hamza,1,True,50,cascade,multiple,mean,hamza;rasha;kareem;khalid;zakaria
sift,128,AMF-Iris::hamza::8::Left,hamza,1,True,50,cascade,multiple,mean,hamza;zakaria;aziz;ameer;sirag
superglue-fingervein,128,AMF-Iris::hamza::8::Left,hamza,1,True,50,cascade,multiple,mean,hamza;ameer;sirag;elaf;muhand
superglue,128,AMF-Iris::hamza::8::Left,hamza,1,True,50,cascade,multiple,mean,hamza;fuaad;kareem;aziz;rasha
sgmnet-fingervein,128,AMF-Iris::hamza::8::Left,hamza,1,True,50,cascade,multiple,mean,hamza;abeer;fars;kareem;aziz
sgmnet,128,AMF-Iris::hamza::8::Left,hamza,1,True,50,cascade,multiple,mean,hamza;fars;sirag;aziz;ameer
aspanformer,128,AMF-Iris::hamza::8::Left,hamza,1,True,50,cascade,multiple,mean,hamza;elaf;sirag;tabarak;muhand
deepdetect,128,AMF-Iris::hamza::8::Left,hamza,1,True,50,cascade,multiple,mean,hamza;ayad;elaf;abeer;zakaria
loftr,132,AMF-Iris::omar::4::Left,omar,1,True,50,cascade,multiple,mean,omar;assem;hamza;zaid;daood
orb-fingervein,132,AMF-Iris::omar::4::Left,omar,1,True,50,cascade,multiple,mean,omar;zaid;taha;aadil;tabarak
orb,132,AMF-Iris::omar::4::Left,omar,12,False,50,cascade,multiple,mean,daood;anas;ali;marwan;rasha
sift-fingervein,132,AMF-Iris::omar::4::Left,omar,1,True,50,cascade,multiple,mean,omar;hamza;zaid;assem;aadil
sift,132,AMF-Iris::omar::4::Left,omar,1,True,50,cascade,multiple,mean,omar;hamza;daood;anas;ali
superglue-fingervein,132,AMF-Iris::omar::4::Left,omar,1,True,50,cascade,multiple,mean,omar;marwan;zaid;daood;assem
superglue,132,AMF-Iris::omar::4::Left,omar,4,False,50,cascade,multiple,mean,marwan;taha;anas;omar;daood
sgmnet-fingervein,132,AMF-Iris::omar::4::Left,omar,1,True,50,cascade,multiple,mean,omar;kareem;tabarak;rasha;khalid
sgmnet,132,AMF-Iris::omar::4::Left,omar,1,True,50,cascade,multiple,mean,omar;anas;rasha;kareem;khalid
aspanformer,132,AMF-Iris::omar::4::Left,omar,1,True,50,cascade,multiple,mean,omar;zaid;assem;hamza;muhand
deepdetect,132,AMF-Iris::omar::4::Left,omar,1,True,50,cascade,multiple,mean,omar;khalid;aadil;anas;assem
loftr,136,AMF-Iris::asmaa::2::Left,asmaa,1,True,50,cascade,multiple,mean,asmaa;maria;abas;tabarak;wathah
orb-fingervein,136,AMF-Iris::asmaa::2::Left,asmaa,1,True,50,cascade,multiple,mean,asmaa;wathah;tabarak;assem;huda
orb,136,AMF-Iris::asmaa::2::Left,asmaa,11,False,50,cascade,multiple,mean,azam;saadi;ameina;abas;wathah
sift-fingervein,136,AMF-Iris::asmaa::2::Left,asmaa,1,True,50,cascade,multiple,mean,asmaa;zahraa;tabarak;azam;wathah
sift,136,AMF-Iris::asmaa::2::Left,asmaa,1,True,50,cascade,multiple,mean,asmaa;saadi;ameina;abas;wathah
superglue-fingervein,136,AMF-Iris::asmaa::2::Left,asmaa,2,False,50,cascade,multiple,mean,zahraa;asmaa;tabarak;wathah;huda
superglue,136,AMF-Iris::asmaa::2::Left,asmaa,8,False,50,cascade,multiple,mean,wathah;azam;daood;saadi;maria
sgmnet-fingervein,136,AMF-Iris::asmaa::2::Left,asmaa,1,True,50,cascade,multiple,mean,asmaa;zahraa;abas;daood;omar
sgmnet,136,AMF-Iris::asmaa::2::Left,asmaa,2,False,50,cascade,multiple,mean,maria;asmaa;assem;abas;zahraa
aspanformer,136,AMF-Iris::asmaa::2::Left,asmaa,1,True,50,cascade,multiple,mean,asmaa;tabarak;basam;ameina;omar
deepdetect,136,AMF-Iris::asmaa::2::Left,asmaa,1,True,50,cascade,multiple,mean,asmaa;wathah;azam;daood;rasha
loftr,140,AMF-Iris::zakaria::0::Left,zakaria,1,True,50,cascade,multiple,mean,zakaria;hamza;khalid;assem;ameina
orb-fingervein,140,AMF-Iris::zakaria::0::Left,zakaria,1,True,50,cascade,multiple,mean,zakaria;abas;assem;omar;mazin
orb,140,AMF-Iris::zakaria::0::Left,zakaria,12,False,50,cascade,multiple,mean,saadi;ameina;abas;daood;aziz
sift-fingervein,140,AMF-Iris::zakaria::0::Left,zakaria,1,True,50,cascade,multiple,mean,zakaria;ameina;rafa;khalid;mazin
sift,140,AMF-Iris::zakaria::0::Left,zakaria,1,True,50,cascade,multiple,mean,zakaria;saadi;ameina;abas;daood
superglue-fingervein,140,AMF-Iris::zakaria::0::Left,zakaria,1,True,50,cascade,multiple,mean,zakaria;daood;abas;khalid;saadi
superglue,140,AMF-Iris::zakaria::0::Left,zakaria,1,True,50,cascade,multiple,mean,zakaria;daood;abas;assem;rafa
sgmnet-fingervein,140,AMF-Iris::zakaria::0::Left,zakaria,1,True,50,cascade,multiple,mean,zakaria;abas;asmaa;assem;ameina
sgmnet,140,AMF-Iris::zakaria::0::Left,zakaria,1,True,50,cascade,multiple,mean,zakaria;ameina;kareem;assem;asmaa
aspanformer,140,AMF-Iris::zakaria::0::Left,zakaria,1,True,50,cascade,multiple,mean,zakaria;kamal;hamza;khalid;ameina
deepdetect,140,AMF-Iris::zakaria::0::Left,zakaria,1,True,50,cascade,multiple,mean,zakaria;aziz;omar;assem;khalid
loftr,144,AMF-Iris::ahmed::2::Left,ahmed,1,True,50,cascade,multiple,mean,ahmed;huda;fuaad;daood;khaleel
orb-fingervein,144,AMF-Iris::ahmed::2::Left,ahmed,1,True,50,cascade,multiple,mean,ahmed;fuaad;abeer;daood;ayad
orb,144,AMF-Iris::ahmed::2::Left,ahmed,10,False,50,cascade,multiple,mean,saadi;ameina;abas;wathah;daood
sift-fingervein,144,AMF-Iris::ahmed::2::Left,ahmed,2,False,50,cascade,multiple,mean,arwa;ahmed;omar;saadi;khaleel
sift,144,AMF-Iris::ahmed::2::Left,ahmed,10,False,50,cascade,multiple,mean,saadi;ameina;abas;wathah;daood
superglue-fingervein,144,AMF-Iris::ahmed::2::Left,ahmed,1,True,50,cascade,multiple,mean,ahmed;daood;abeer;fuaad;huda
superglue,144,AMF-Iris::ahmed::2::Left,ahmed,5,False,50,cascade,multiple,mean,wisam;wathah;daood;fuaad;ahmed
sgmnet-fingervein,144,AMF-Iris::ahmed::2::Left,ahmed,1,True,50,cascade,multiple,mean,ahmed;arwa;wathah;abeer;tabarak
sgmnet,144,AMF-Iris::ahmed::2::Left,ahmed,1,True,50,cascade,multiple,mean,ahmed;tabarak;wisam;wathah;abas
aspanformer,144,AMF-Iris::ahmed::2::Left,ahmed,1,True,50,cascade,multiple,mean,ahmed;abeer;wisam;huda;daood
deepdetect,144,AMF-Iris::ahmed::2::Left,ahmed,1,True,50,cascade,multiple,mean,ahmed;daood;ameina;tabarak;wathah
loftr,148,AMF-Iris::tabarak::2::Left,tabarak,1,True,50,cascade,multiple,mean,tabarak;adnan;yaseen;ameer;omar
orb-fingervein,148,AMF-Iris::tabarak::2::Left,tabarak,1,True,50,cascade,multiple,mean,tabarak;ameina;adnan;yaseen;fars
orb,148,AMF-Iris::tabarak::2::Left,tabarak,1,True,50,cascade,multiple,mean,tabarak;rasha;ameer;baydaa;saadi
sift-fingervein,148,AMF-Iris::tabarak::2::Left,tabarak,1,True,50,cascade,multiple,mean,tabarak;omar;ameina;adnan;azam
sift,148,AMF-Iris::tabarak::2::Left,tabarak,1,True,50,cascade,multiple,mean,tabarak;ameina;baydaa;rasha;saadi
superglue-fingervein,148,AMF-Iris::tabarak::2::Left,tabarak,1,True,50,cascade,multiple,mean,tabarak;wisam;huda;abas;ameer
superglue,148,AMF-Iris::tabarak::2::Left,tabarak,4,False,50,cascade,multiple,mean,adnan;ameer;huda;tabarak;fars
sgmnet-fingervein,148,AMF-Iris::tabarak::2::Left,tabarak,1,True,50,cascade,multiple,mean,tabarak;wisam;saadi;khaleel;azam
sgmnet,148,AMF-Iris::tabarak::2::Left,tabarak,1,True,50,cascade,multiple,mean,tabarak;abas;ameer;azam;wisam
aspanformer,148,AMF-Iris::tabarak::2::Left,tabarak,1,True,50,cascade,multiple,mean,tabarak;khaleel;omar;adnan;ameer
deepdetect,148,AMF-Iris::tabarak::2::Left,tabarak,5,False,50,cascade,multiple,mean,omar;baydaa;ameer;abas;tabarak
loftr,152,AMF-Iris::fuaad::0::Left,fuaad,1,True,50,cascade,multiple,mean,fuaad;aadil;ahmed;basam;assem
orb-fingervein,152,AMF-Iris::fuaad::0::Left,fuaad,1,True,50,cascade,multiple,mean,fuaad;basam;khaleel;saadi;saldar
orb,152,AMF-Iris::fuaad::0::Left,fuaad,12,False,50,cascade,multiple,mean,tabarak;saadi;basam;aziz;ali
sift-fingervein,152,AMF-Iris::fuaad::0::Left,fuaad,1,True,50,cascade,multiple,mean,fuaad;adnan;huda;tabarak;khaleel
sift,152,AMF-Iris::fuaad::0::Left,fuaad,1,True,50,cascade,multiple,mean,fuaad;saadi;khaleel;assem;basam
superglue-fingervein,152,AMF-Iris::fuaad::0::Left,fuaad,1,True,50,cascade,multiple,mean,fuaad;ahmed;ali;saadi;rafa
superglue,152,AMF-Iris::fuaad::0::Left,fuaad,8,False,50,cascade,multiple,mean,rafa;kareem;adnan;saadi;basam
sgmnet-fingervein,152,AMF-Iris::fuaad::0::Left,fuaad,1,True,50,cascade,multiple,mean,fuaad;basam;kareem;aziz;saldar
sgmnet,152,AMF-Iris::fuaad::0::Left,fuaad,1,True,50,cascade,multiple,mean,fuaad;kareem;aadil;aziz;saldar
aspanformer,152,AMF-Iris::fuaad::0::Left,fuaad,1,True,50,cascade,multiple,mean,fuaad;saadi;huda;khaleel;ahmed
deepdetect,152,AMF-Iris::fuaad::0::Left,fuaad,1,True,50,cascade,multiple,mean,fuaad;saldar;adnan;huda;tabarak
loftr,156,AMF-Iris::adnan::6::Left,adnan,1,True,50,cascade,multiple,mean,adnan;aziz;hamza;marwan;ali
orb-fingervein,156,AMF-Iris::adnan::6::Left,adnan,1,True,50,cascade,multiple,mean,adnan;yaseen;ali;mohamad;hamza
orb,156,AMF-Iris::adnan::6::Left,adnan,1,True,50,cascade,multiple,mean,adnan;kamal;basam;saadi;ameina
sift-fingervein,156,AMF-Iris::adnan::6::Left,adnan,1,True,50,cascade,multiple,mean,adnan;saldar;aziz;basam;marwan
sift,156,AMF-Iris::adnan::6::Left,adnan,1,True,50,cascade,multiple,mean,adnan;aziz;saadi;ameina;daood
superglue-fingervein,156,AMF-Iris::adnan::6::Left,adnan,1,True,50,cascade,multiple,mean,adnan;daood;basam;saadi;saldar
superglue,156,AMF-Iris::adnan::6::Left,adnan,5,False,50,cascade,multiple,mean,marwan;kamal;wisam;ameina;adnan
